sample,popdepth,Heterozygosity
2,TER-North-Mesophotic,0.3064
4,TER-North-Mesophotic,0.2348
5,TER-North-Mesophotic,0.2235
6,TER-North-Mesophotic,0.2272
7,TER-North-Mesophotic,0.2277
8,TER-North-Mesophotic,0.2139
9,TER-North-Mesophotic,0.2131
10,TER-North-Mesophotic,0.2087
12,TER-North-Mesophotic,0.2169
13,TER-North-Mesophotic,0.2226
14,TER-North-Shallow,0.2193
15,TER-North-Shallow,0.2287
16,TER-North-Shallow,0.2157
17,TER-North-Shallow,0.382
18,TER-North-Shallow,0.3702
19,TER-North-Shallow,0.2157
20,TER-North-Shallow,0.3998
21,TER-North-Shallow,0.3486
22,TER-North-Shallow,0.2137
23,TER-North-Shallow,0.375
24,TER-North-Shallow,0.2149
26,TER-North-Shallow,0.2209
27,TER-North-Shallow,0.1999
28,TER-North-Shallow,0.2264
29,TER-North-Shallow,0.2303
30,TER-North-Shallow,0.2192
31,TER-North-Shallow,0.227
32,TER-North-Shallow,0.2338
33,TER-North-Shallow,0.2296
34,TER-North-Shallow,0.2375
36,TER-North-Shallow,0.2979
37,TER-North-Mesophotic,0.238
38,TER-North-Mesophotic,0.2411
39,TER-North-Mesophotic,0.2029
40,TER-North-Mesophotic,0.2309
41,TER-North-Mesophotic,0.2195
42,TER-North-Mesophotic,0.2032
44,TER-North-Mesophotic,0.1943
45,TER-North-Mesophotic,0.2366
46,TER-North-Mesophotic,0.2238
47,TER-North-Mesophotic,0.2295
48,TER-North-Shallow,0.2092
49,TER-North-Shallow,0.2709
50,TER-North-Shallow,0.2148
52,TER-North-Shallow,0.2586
53,TER-North-Shallow,0.2141
54,TER-North-Mesophotic,0.2424
55,TER-North-Mesophotic,0.1979
56,TER-North-Mesophotic,0.212
60,TER-North-Shallow,0.2055
61,TER-South-Mesophotic,0.2366
62,TER-South-Mesophotic,0.2061
63,TER-South-Mesophotic,0.2083
64,TER-South-Mesophotic,0.2373
65,TER-South-Mesophotic,0.2898
66,TER-South-Mesophotic,0.3381
67,TER-South-Mesophotic,0.2114
68,TER-South-Mesophotic,0.2644
69,TER-South-Mesophotic,0.2192
70,TER-South-Mesophotic,0.2159
71,TER-South-Mesophotic,0.2129
72,TER-South-Mesophotic,0.2283
73,TER-South-Mesophotic,0.205
74,TER-South-Mesophotic,0.2681
75,TER-South-Mesophotic,0.2227
76,TER-South-Mesophotic,0.2314
77,TER-South-Mesophotic,0.2071
78,TER-South-Mesophotic,0.2232
79,TER-South-Mesophotic,0.2236
80,TER-South-Mesophotic,0.2296
82,TER-South-Shallow,0.2291
84,TER-South-Shallow,0.2329
85,TER-South-Shallow,0.2054
86,TER-South-Shallow,0.235
87,TER-South-Shallow,0.2962
88,TER-South-Shallow,0.2169
89,TER-South-Shallow,0.2186
90,TER-South-Shallow,0.2114
91,TER-South-Shallow,0.2096
92,TER-South-Shallow,0.2329
93,TER-South-Shallow,0.2744
94,TER-South-Shallow,0.3892
95,TER-South-Shallow,0.2777
96,TER-South-Shallow,0.2293
97,TER-South-Shallow,0.2285
98,TER-South-Shallow,0.2214
99,TER-South-Shallow,0.2497
100,TER-South-Shallow,0.2289
101,TER-South-Shallow,0.2272
102,TER-South-Shallow,0.2078
103,TER-South-Shallow,0.2484
104,TER-South-Shallow,0.2214
105,TER-South-Shallow,0.259
106,TER-South-Shallow,0.236
107,TER-South-Mesophotic,0.2169
108,TER-South-Mesophotic,0.2123
109,TER-South-Mesophotic,0.2178
110,TER-South-Mesophotic,0.2344
111,TER-South-Mesophotic,0.2625
112,TER-South-Mesophotic,0.2637
113,TER-South-Mesophotic,0.2197
114,TER-South-Mesophotic,0.2847
115,TER-South-Mesophotic,0.3068
116,TER-South-Mesophotic,0.2021
117,TER-South-Mesophotic,0.2791
118,TER-South-Shallow,0.2473
119,TER-South-Shallow,0.2146
120,TER-South-Shallow,0.2323
121,TER-South-Shallow,0.2273
122,TER-South-Mesophotic,0.2297
123,TER-South-Mesophotic,0.3454
124,TER-South-Mesophotic,0.2254
125,TER-South-Mesophotic,0.2219
126,TER-South-Mesophotic,0.2271
127,TER-South-Mesophotic,0.2127
128,Lower Keys-Shallow,0.2404
129,Lower Keys-Shallow,0.2228
130,Lower Keys-Shallow,0.2421
131,Lower Keys-Shallow,0.2501
132,Lower Keys-Shallow,0.2221
133,Lower Keys-Shallow,0.2013
134,Lower Keys-Shallow,0.2058
135,Lower Keys-Shallow,0.2239
136,Lower Keys-Shallow,0.2366
137,Lower Keys-Shallow,0.2345
138,Lower Keys-Shallow,0.2353
139,Lower Keys-Shallow,0.2399
140,Lower Keys-Shallow,0.2174
141,Lower Keys-Shallow,0.2191
142,Lower Keys-Shallow,0.3268
143,Lower Keys-Shallow,0.2104
144,Lower Keys-Shallow,0.2221
145,Lower Keys-Shallow,0.2494
146,Lower Keys-Shallow,0.2565
147,Lower Keys-Shallow,0.265
148,Lower Keys-Shallow,0.2033
149,Lower Keys-Shallow,0.2184
150,Lower Keys-Shallow,0.2217
151,Lower Keys-Shallow,0.216
152,Lower Keys-Shallow,0.2186
153,Lower Keys-Shallow,0.3547
154,Lower Keys-Shallow,0.2208
155,Lower Keys-Shallow,0.2416
156,Lower Keys-Shallow,0.2463
157,Lower Keys-Mesophotic,0.1735
158,Lower Keys-Mesophotic,0.2176
159,Lower Keys-Mesophotic,0.2183
160,Lower Keys-Mesophotic,0.2237
161,Lower Keys-Mesophotic,0.2415
162,Lower Keys-Mesophotic,0.2265
163,Lower Keys-Mesophotic,0.3445
164,Lower Keys-Mesophotic,0.2192
165,Lower Keys-Mesophotic,0.2052
166,Lower Keys-Mesophotic,0.2264
167,Lower Keys-Mesophotic,0.1776
168,Lower Keys-Mesophotic,0.2236
169,Lower Keys-Mesophotic,0.2125
170,Lower Keys-Shallow,0.2207
171,Upper Keys-Mesophotic,0.215
172,Upper Keys-Mesophotic,0.2151
173,Upper Keys-Mesophotic,0.2564
174,Upper Keys-Mesophotic,0.2299
175,Upper Keys-Mesophotic,0.2083
176,Upper Keys-Mesophotic,0.2083
177,Upper Keys-Mesophotic,0.2209
178,Upper Keys-Mesophotic,0.2216
179,Upper Keys-Shallow,0.259
180,Upper Keys-Shallow,0.2115
181,Upper Keys-Shallow,0.229
182,Upper Keys-Shallow,0.2274
183,Upper Keys-Shallow,0.2161
184,Upper Keys-Shallow,0.2139
185,Upper Keys-Shallow,0.2278
186,Upper Keys-Shallow,0.2376
187,Upper Keys-Mesophotic,0.2498
188,Upper Keys-Mesophotic,0.2178
189,Upper Keys-Mesophotic,0.2193
190,Upper Keys-Mesophotic,0.2329
191,Upper Keys-Mesophotic,0.2227
192,Upper Keys-Mesophotic,0.226
193,Upper Keys-Mesophotic,0.2231
194,Upper Keys-Shallow,0.2123
195,Upper Keys-Shallow,0.2495
196,Upper Keys-Shallow,0.2593
198,Upper Keys-Shallow,0.2011
199,Upper Keys-Shallow,0.2068
200,Upper Keys-Shallow,0.3055
201,Upper Keys-Mesophotic,0.3773
202,Upper Keys-Mesophotic,0.2176
205,Upper Keys-Mesophotic,0.3004
208,Upper Keys-Mesophotic,0.2906
209,Upper Keys-Mesophotic,0.3331
211,Upper Keys-Mesophotic,0.3037
212,Upper Keys-Mesophotic,0.2932
214,Upper Keys-Mesophotic,0.3493
216,Upper Keys-Mesophotic,0.2683
217,Upper Keys-Mesophotic,0.2193
218,Upper Keys-Shallow,0.2241
219,Upper Keys-Shallow,0.21
220,Upper Keys-Shallow,0.2098
222,Upper Keys-Shallow,0.2076
224,Upper Keys-Shallow,0.2217
225,Upper Keys-Shallow,0.2217
226,Upper Keys-Shallow,0.2258
227,Upper Keys-Shallow,0.227
228,Upper Keys-Shallow,0.2082
229,Upper Keys-Shallow,0.1737
230,Upper Keys-Shallow,0.2158
231,Upper Keys-Shallow,0.2157
232,Upper Keys-Shallow,0.1815
233,Upper Keys-Shallow,0.2063
234,Upper Keys-Shallow,0.227
235,Upper Keys-Shallow,0.2017
236,Upper Keys-Shallow,0.2278
237,Upper Keys-Shallow,0.2