Site,General-Site,Depth Zone,Sample Total,Lat,Lon
"Florida, Sherwood Forrest Outside TER North- Site 17",TER-North,Mesophotic,13,24.65211,-83.103095
"Florida, Sherwood Forrest TER North- Site 33",TER-North,Shallow,23,24.66019667,-83.07890333
"Florida, Sherwood Forrest Outside TER North- Site 35/36",TER-North,Mesophotic,11,24.64042,-83.10294333
"Florida, Sherwood Forrest Outside TER North- Site 35/37",TER-North,Mesophotic,6,24.640415,-83.10294667
"Florida, Sherwood Forrest TER North- Site 37",TER-North,Shallow,7,24.67518667,-83.068585
"Florida, Riley's Hump, TER south- Site 18",TER-South,Mesophotic,20,24.49396,-83.09607833
"Florida, Riley's Hump, TER south- Site 38",TER-South,Shallow,26,24.51780833,-83.09790167
"Florida, Riley's Hump, TER south- Site 19",TER-South,Mesophotic,11,24.48925667,-83.122695
"Florida, Riley's Hump, TER south- Site 39",TER-South,Shallow,4,24.51135833,-83.09516
"Florida, Riley's Hump, TER south- Site 44",TER-South,Mesophotic,6,24.48466,-83.110725
"Florida, Big Coppitt, FKNMS Site 46",Lower-Keys,Shallow,29,24.49297,-81.59892667
"Florida, Big Coppitt, FKNMS Site 45",Lower-Keys,Mesophotic,13,24.494035,-81.58790833
"Florida, Big Coppitt, FKNMS Site 47",Lower-Keys,Shallow,1,24.49105167,-81.60602833
"Florida, The Elbow, FKNMS Site 51",Upper-Keys,Mesophotic,8,25.152185,-80.23162
"Florida, The Elbow, FKNMS Site 51",Upper-Keys,Shallow,8,25.14415667,-80.252055
"Florida, The Elbow, Ian's Lumps, FKNMS Site 52",Upper-Keys,Mesophotic,7,25.15823333,-80.22064
"Florida, The Elbow, FKNMS Site 49",Upper-Keys,Shallow,7,25.14404833,-80.25258833
"Florida, Carysfort, FKNMS Site 1",Upper-Keys,Mesophotic,17,25.217545,-80.19341333
"Florida, Carysfort, FKNMS Site 48",Upper-Keys,Shallow,20,25.22036,-80.20094333